MAS SECTION LED DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,RG,,,,,,HG,,,,,,HHG,,,,,,DG,,,,,,SHUNT,,,,,,ROUTE,,,,,,AMARKER,,,,,,CALLINGON,,,,,,,,,,,,,,,,,,,,
SNO,SECTION,STATION/AUTOSECTION/LC/IBS,ROUTE,"SIGNALNO/
SHUNTNO",HOME/STARTER/LSS/CO/IND SH/SUB SH/AUTO/GATE/IB/REP,LHS/RHS,SMMS Asset Created,"Asset Approved by
In Charge SSE",,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,MAKE,TYPE,Sl No,DOM,DOI,QTY,,2Aspect,3Aspect,4Aspect,Shunt,Ind,OnPost,CO,Route,Home,Starter,IB,Gatesig,Auto,Retro Reflective Signal No.
47,MAS,MAS,A,MAS13,LSS,RHS,TRUE,TRUE,,TILAK,INTEGRATED,5042,6/1/2019,10/1/2021,1,GAEC,INTEGRATED,39854,6/1/2019,10/1/2021,1,GAEC,INTEGRATED,39856,7/1/2019,10/1/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,TRUE,,,,,TRUE,TRUE,,,,,,13
48,MAS,MASS,A,3A,STARTER,LHS,TRUE,TRUE,,CLS,INTEGRATED,4980,5/1/2019,5/15/2021,1,GAEC,INTEGRATED,38955,6/1/2019,5/15/2021,1,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/19/2016,5,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,3A
49,MAS,MASS,A,3B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,6/12/2018,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,3B
50,MAS,MASS,A,4A,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4978,5/1/2019,6/29/2021,1,RTV,INTEGRATED,3159,11/1/2020,6/29/2021,1,,,,,,,GAEC,INTEGRATED,25904,5/1/2019,6/29/2021,1,,,,,,,PTC,INTEGRATED,,,9/19/2016,5,,,,,,,,,,,,,3,,TRUE,,,,,TRUE,FALSE,,,,,,4A
51,MAS,MASS,A,4B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,6/12/2018,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,4B
52,MAS,MASS,A,5A,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4994,6/1/2019,6/29/2021,1,RTV,INTEGRATED,3158,11/1/2020,6/29/2021,1,,,,,,,,,,,,,,,,,,,PTC/GAEC,INTEGRATED,,,9/19/2016,5,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,5A
53,MAS,MASS,A,5B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,6/12/2018,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,5B
54,MAS,MASS,A,6A,STARTER,LHS,TRUE,TRUE,,CLS,INTEGRATED,4478,9/1/2021,9/3/2022,1,PTC,INTEGRATED,1506,10/1/2021,9/3/2022,1,,,,,,,GAEC,INTEGRATED,39761,5/1/2021,9/3/2022,1,,,,,,,PTC,INTEGRATED,,,9/19/2016,5,,,,,,,,,,,,,3,,TRUE,,,,,TRUE,FALSE,,,,,,6A
55,MAS,MASS,A,6B,CO,LHS,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAEC,INTEGRATED,,,1/18/2019,1,0,,,,,TRUE,,FALSE,TRUE,,,,,,6B
56,MAS,MASS,A,SH26,SUB SH,LHS,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/19/2016,2,,,,,,,,,,,,,,,,,,,0,,,,,TRUE,,TRUE,TRUE,,,,,,
57,MAS,MASS,A,7A,STARTER,LHS,TRUE,TRUE,,TILAK,INTEGRATED,4976,5/1/2019,8/15/2021,1,GAEC,INTEGRATED,38954,6/1/2019,8/15/2021,1,,,,,,,,,,,,,,,,,,,PTC,INTEGRATED,,,9/19/2016,5,,,,,,,,,,,,,2,TRUE,,,,,,TRUE,FALSE,,,,,,7A
